City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
9,Hidalgotitlan,MX,84.22,17.7833,-94.6333,
10,Puerto Ayora,EC,75.16,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Sotouboua,TG,78.21,8.5667,0.9833,Auberge Médina
17,Fare,PF,76.46,-16.7,-151.0167,Maitai Lapita Village Huahine
21,Miri,MY,79.75,4.4148,114.0089,"Mega Hotel, Miri"
33,Marzuq,YE,78.75,14.4,46.4667,
34,Banda Aceh,ID,81.18,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
35,Ribeira Grande,PT,75.6,38.5167,-28.7,Quinta da Meia Eira
38,Atuona,PF,77.16,-9.8,-139.0333,Villa Enata
39,Itacarambi,BR,85.66,-15.1022,-44.0919,POUSADA CAMALEÃO
42,Caravelas,BR,77.49,-17.7125,-39.2481,Pousada dos Navegantes
45,Torbay,CA,76.87,47.6666,-52.7314,Gallows Cove
48,Ponta Do Sol,PT,75.13,32.6667,-17.1,Hotel do Campo
53,Kavieng,PG,81.0,-2.5744,150.7967,Nusa Island Retreat
55,Harindanga,IN,83.23,22.0383,88.3214,Hasanur Builders
56,Weligama,LK,78.48,5.9667,80.4167,Weligama Bay Resort
58,Kapaa,US,80.19,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Shimoda,JP,75.11,34.6667,138.95,Shimoda Tokyu Hotel
61,Praya,CV,76.64,14.9215,-23.5087,LT Aparthotel
67,Kavaratti,IN,80.98,10.5669,72.642,Green leaf
70,Jamestown,US,80.06,42.097,-79.2353,Hampton Inn & Suites Jamestown
77,Santa Marta,CO,81.72,11.2408,-74.199,Hotel La Ballena Azul
91,La Asuncion,VE,83.26,11.0333,-63.8628,Colinas de Matasiete
94,Half Moon Bay,US,76.8,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
95,Rio Blanco,MX,81.61,18.8333,-97.15,HOTEL L'ORBE EN ORIZABA
98,Ixtapa,MX,89.22,20.7,-105.2,hotel la terminal
99,San Policarpo,PH,82.02,12.1791,125.5072,Agapita M. Nicart
111,Loiza,PR,79.68,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
114,Kloulklubed,PW,82.36,7.0419,134.2556,Storyboard Beach Resort
115,Kontagora,NG,78.42,10.3999,5.4695,Queens Guest Inn
116,Korla,CN,80.46,41.7597,86.1469,Gulisitan Hotel
117,Muros,ES,82.69,42.7762,-9.0603,Apartment Av. Castelao
118,Amalapuram,IN,81.01,16.5833,82.0167,swayamprabha service apartments
119,Biak,ID,75.34,-0.9131,122.8766,Penginapan Kim
120,Nikolskoye,RU,76.91,59.7035,30.7861,Tourist House - Sablino
123,Tual,ID,77.99,-5.6667,132.75,Grand Vilia Hotel
124,Huntsville,US,89.91,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
125,Sao Filipe,CV,75.76,14.8961,-24.4956,Hotel Xaguate
126,Mae Hong Son,TH,75.34,19.3003,97.9685,Baiyoke Chalet Hotel
128,Maragogi,BR,77.81,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
134,Dwarka,IN,82.92,22.2394,68.9678,Hotel Narayan Avezika Comfort
136,Victoria,HK,86.38,22.2855,114.1577,Mini Central
138,Buala,SB,79.88,-8.145,159.5921,Maringe Lagoon Lodge
141,Manado,ID,75.97,1.487,124.8455,Aryaduta Hotel
142,Butaritari,KI,80.01,3.0707,172.7902,Isles Sunset Lodge
145,Auki,SB,76.77,-8.7676,160.7034,Auki Motel
150,Naze,JP,81.39,28.3667,129.4833,Shishime Hotel
152,Chateaubelair,VC,81.41,13.2833,-61.25,Richmond Vale Diving & Hiking Center
153,The Valley,AI,87.66,18.217,-63.0578,CeBlue Villas & Beach Resort
154,Georgetown,MY,83.89,5.4112,100.3354,Cititel Penang
