City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2022-07-31 07:17:59,-33.0153,27.9116,56.34,58,0,16.11
1,Busselton,AU,2022-07-31 07:17:59,-33.65,115.3333,57.63,66,74,12.26
2,Mar Del Plata,AR,2022-07-31 07:17:04,-38.0023,-57.5575,49.87,87,0,8.01
3,Mumford,GH,2022-07-31 07:17:59,5.2618,-0.759,73.94,84,100,9.15
4,Harper,LR,2022-07-31 07:18:00,4.375,-7.7169,75.34,79,97,4.61
5,Zhangye,CN,2022-07-31 07:18:00,38.9342,100.4517,94.73,19,96,7.02
6,Takoradi,GH,2022-07-31 07:15:41,4.8845,-1.7554,74.12,82,100,8.23
7,Agirish,RU,2022-07-31 07:18:00,61.9247,63.0231,71.35,47,100,9.22
8,Bergen,NO,2022-07-31 07:18:01,60.392,5.328,59.07,95,75,4.61
9,Cidreira,BR,2022-07-31 07:18:01,-30.1811,-50.2056,54.46,84,100,8.66
10,Georgetown,MY,2022-07-31 07:13:59,5.4112,100.3354,89.53,77,20,8.05
11,Mataura,NZ,2022-07-31 07:18:02,-46.1927,168.8643,37.85,99,22,3.76
12,Rikitea,PF,2022-07-31 07:16:58,-23.1203,-134.9692,72.54,75,14,17.0
13,Kaitangata,NZ,2022-07-31 07:18:02,-46.2817,169.8464,41.77,89,84,8.32
14,Bose,IT,2022-07-31 07:18:02,45.4612,8.0137,78.76,45,0,2.08
15,Jamestown,US,2022-07-31 07:13:22,42.097,-79.2353,62.71,75,0,1.01
16,Bredasdorp,ZA,2022-07-31 07:16:57,-34.5322,20.0403,50.36,76,92,4.38
17,Punta Arenas,CL,2022-07-31 07:16:55,-53.15,-70.9167,41.11,75,0,18.41
18,Ushuaia,AR,2022-07-31 07:18:03,-54.8,-68.3,42.46,70,40,27.63
19,Merauke,ID,2022-07-31 07:18:04,-8.4667,140.3333,79.92,81,100,18.75
20,Bonavista,CA,2022-07-31 07:18:04,48.6499,-53.1147,60.13,87,100,15.79
21,Aden,YE,2022-07-31 07:18:04,12.7794,45.0367,85.44,74,56,3.89
